study_id,pmid,doi,first_author,publication_year,article_title
S0175,22673720,10.1292/jvms.11-0567,Vu Dinh Luan,2012,Studies on Hantavirus Infection in Small Mammals Captured in Southern and Central Highland Area of Vietnam
S0176,24044372,10.1017/S0950268813002197,S. H. Gu,2014,High prevalence of Nova hantavirus infection in the European mole (Talpa europaea) in France
S0177,18854415,10.1073/pnas.0808942105,Satoru Arai,2008,Molecular phylogeny of a newfound hantavirus in the Japanese shrew mole (Urotrichus talpoides)
S0178,19357167,10.1128/JVI.00371-09,Jin-Won Song,2009,"Characterization of Imjin Virus, a Newly Isolated Hantavirus from the Ussuri White-Toothed Shrew (Crocidura lasiura)"
S0179,19394994,10.1016/j.virol.2009.03.019,Hae Ji Kang,2009,Host switch during evolution of a genetically distinct hantavirus in the American shrew mole (Neurotrichus gibbsii)
S0180,19582155,10.1371/journal.pone.0006149,Hae Ji Kang,2009,Evolutionary Insights from a Genetically Divergent Hantavirus Harbored by the European Common Mole (Talpa europaea)
S0181,19930716,10.1186/1743-422X-6-208,Hae Ji Kang,2009,Genetic diversity and phylogeography of Seewis virus in the Eurasian common shrew in Finland and Hungary
S0182,20133953,10.1177/0300985809351849,M. E. Puorger,2010,"Distribution of Borna Disease Virus Antigen and RNA in Tissues of Naturally Infected Bicolored White-Toothed Shrews, Crocidura leucodon, Supporting Their Role as Reservoir Host Species"
S0183,20419812,10.1002/jmv.21737,Yong-Zhen Zhang,2010,"Hantaviruses in Small Mammals and Humans in the Coastal Region of Zhejiang Province, China"
S0184,20420534,10.1089/vbz.2009.0211,Marta Heroldová,2010,Tula Virus in Populations of Small Terrestrial Mammals in a Rural Landscape
S0185,20426682,10.1089/vbz.2009.0159,Hae Ji Kang,2010,Novel Hantavirus in the Flat-Skulled Shrew (Sorex roboratus)
S0186,20426688,10.1089/vbz.2009.0154,Liudmila N. Yashina,2010,"Seewis Virus: Phylogeography of a Shrew-Borne Hantavirus in Siberia, Russia"
S0187,15768102,10.1080/00480169.2004.36410,JP Parkes,2004,"Antibody responses to rabbit haemorrhagic disease virus in predators, scavengers, and hares in New Zealand during epidemics in sympatric rabbit populations"
S0188,16556344,10.1017/S0031182005009315,J. Laakkonen,2006,"Is there an association of Pneumocystis infection with the presence of arena-, hanta-, and poxvirus antibodies in wild mice and shrews in Finland?"
S0189,16584325,Not reported in supplied PDF,Valentina N. Bakhvalova,2006,"Natural Tick-Borne Encephalitis Virus Infection among Wild Small Mammals in the South-Eastern Part of Western Siberia, Russia"
S0190,16704819,Not reported in supplied PDF,Monika Hilbe,2006,Shrews as Reservoir Hosts of Borna Disease Virus
S0191,17182762,10.1128/CVI.00347-06,Megumi Okumura,2007,"Development of Serological Assays for Thottapalayam Virus, an Insectivore-Borne Hantavirus"
S0192,17711577,10.1186/1743-422X-4-80,Pragya D Yadav,2007,"Thottapalayam virus is genetically distant to the rodent-borne hantaviruses, consistent with its isolation from the Asian house shrew (Suncus murinus)"
S0193,17967200,10.1186/1743-422X-4-114,Jin-Won Song,2007,"Seewis virus, a genetically distinct hantavirus in the Eurasian common shrew (Sorex araneus)"
S0194,18256444,Not reported in supplied PDF,Satoru Arai,2008,Short Report: Phylogenetically Distinct Hantaviruses in the Masked Shrew (Sorex cinereus) and Dusky Shrew (Sorex monticolus) in the United States
S0195,18210195,10.1007/s11262-008-0200-x,Marc Gottschling,2008,"Novel papillomavirus isolates from Erinaceus europaeus (Erinaceidae, Insectivora) and the Cervidae (Artiodactyla), Cervus timorensis and Pudu puda, and phylogenetic analysis of partial sequence data"
S0196,18216123,10.1128/JVI.02646-07,Bernhard Ehlers,2008,Novel Mammalian Herpesviruses and Lineages within the Gammaherpesvirinae: Cospeciation and Interspecies Transfer
S0197,9391967,Not reported in supplied PDF,Nanette Dietrich,1997,A Small-Scale Survey of Hantavirus in Mammals from Indiana
S0198,9574803,Not reported in supplied PDF,James N. Mills,1998,A Survey of Hantavirus Antibody in Small-Mammal Populations in Selected United States National Parks
S0199,10580275,Not reported in supplied PDF,Jacques M. Morvan,1999,Identification of Ebola virus sequences present as RNA or DNA in organs of terrestrial small mammals of the Central African Republic
S0200,11814325,10.1053/jcpa.2001.0518,N. Allison,2002,Fatal Herpes Simplex Infection in a Pygmy African Hedgehog (Atelerix albiventris)
S0201,15557742,10.1111/j.1348-0421.2004.tb03616.x,Nandadeva Lokugamage,2004,Epizootiological and Epidemiological Study of Hantavirus Infection in Japan
S0202,14696782,Not reported in public PubMed abstract,Wannee Kantakamalakul,2003,Prevalence of rabies virus and Hantaan virus infections in commensal rodents and shrews trapped in Bangkok
S0203,11871252,Not reported in public PubMed abstract,V. N. Bakhvalova,2001,"[Involvement of the common shrew, Sorex araneus (Insectivora, Soricidae), in circulation of the tick-borne encephalitis virus in south-western Siberia]"
S0204,11030051,Not reported in public PubMed abstract,J. M. Morvan,2000,[Forest ecosystems and Ebola virus]
S0205,9333732,Not reported in public PubMed abstract,Z. Faragó,1997,[Rabid hedgehog in inner-city area of Budapest]
S0206,8722265,10.7589/0090-3558-32.2.274,Ana E. Jiménez,1996,Serological Survey of Small Mammals in a Vesicular Stomatitis Virus Enzootic Area
S0207,9014291,10.1016/S0264-410X(96)00114-4,E. Masson,1996,Safety study of the SAG2 rabies virus mutant in several non-target species with a view to its future use for the immunization of foxes in Europe
S0208,7953086,Not reported in public abstract,V. Celer,1994,[The role of small terrestrial mammals in the epidemiology of rabies]
S0209,Not identified (Kocianová 1993),Not identified,E. Kocianová,1993,"The prevalence of small terrestrial mammals infected with tick-borne encephalitis virus and leptospirae in the foothills of the southern Bavarian forest, Germany"
S0210,8352392,10.4269/ajtmh.1993.49.53,C. J. Mitchell,1993,Vector and host relationships of California serogroup viruses in western Siberia
S0211,1359712,Not reported in public abstract,Iu A Miasnikov,1992,[The disposition of natural foci of hemorrhagic fever with renal syndrome in different landscape areas of Tyumen Province]
S0212,Not identified (Markeshin CCHF Crimea),Not identified,S. Ya. Markeshin,,Оценка состояния природных очагов Крымской-Конго геморрагической лихорадки в Крыму [English variants: An assessment / An evaluation of the status of natural foci of Crimean-Congo hemorrhagic fever in the Crimea]
S0213,1701988,10.1007/BF01310535,T. Yokoi,1990,Characterization of cell fusion in XC cells induced by Suncus murinus mammary tumor virus
S0214,2575365,Not reported in public abstract,D. Fontenille,1989,"[Transmission cycles of the West-Nile virus in Madagascar, Indian Ocean]"
S0215,3169646,Not reported,E. Kocianová,1988,A contribution to the parasite fauna in winter nests of the common mole (Talpa europaea L.) and incidence of its infection with tick-borne encephalitis virus (TBE) and rickettsia Coxiella burnetii
S0216,2831384,10.1128/JVI.62.4.1235-1242.1988,Shin-Ichi Yanagawa,1988,Structural and Functional Analysis of Long Terminal Repeats of Suncus murinus Mammary Tumor Virus
S0217,2460996,10.1016/0042-6822(88)90088-8,Atsuko Aoyama,1988,Major Structural Polypeptides of Retrovirus Produced by a Suncus murinus Mammary Tumor Cell Line and Type D Retrovirus Share Interspecies Antigenic Determinants
S0218,2570514,Not reported,C. Chastel,1989,"Erve virus, a probable member of Bunyaviridae family isolated from shrews (Crocidura russula) in France"
S0219,2499205,10.4269/ajtmh.1989.40.541,A. J. Shepherd,1989,Viremia and antibody response of small African and laboratory animals to Crimean-Congo hemorrhagic fever virus infection
S0220,Not identified (Kucheruk & Pchelkina 1966),Not identified,V. V. Kucheruk,1966,[Viremia in hedgehogs infected with the tick-borne encephalitis virus] / Viremia and the dynamics of complement-fixing antibodies in hedgehogs infected with tick-borne encephalitis virus
S0221,2451354,Not reported in public abstract,E. A. Tkachenko,1987,[Circulation of the virus of hemorrhagic fever with renal syndrome among small mammals in the territory of the USSR]
S0222,2886549,10.1099/0022-1317-68-8-2253,W. J. Morrow,1987,Small Animals Are Not Susceptible to Human Immunodeficiency Virus Infection
S0223,3101526,10.4269/ajtmh.1987.36.133,A. J. Shepherd,1987,Antibody to Crimean-Congo hemorrhagic fever virus in wild mammals from southern Africa
S0224,2883857,Not reported in article/PubMed,R. Verhagen,1987,Occurrence and distribution of Hantavirus in wild living mammals in Belgium
S0225,6430758,Not reported,Z. Hubálek,1984,Experimental infection of hedgehog (Erinaceus europaeus) with Bhanja virus
S0226,2857871,10.1016/S0140-6736(85)92108-7,Y. W. Tang,1985,"Isolation of haemorrhagic fever with renal syndrome virus from Suncus murinus, an insectivore"
S0227,4060590,10.1016/0042-6822(85)90324-1,Yoshihiro Tsutsui,1985,"A new retrovirus produced by tissue culture cell line from mammary tumor of a house musk shrew, Suncus murinus"
S0228,2417416,10.1016/0042-6822(86)90324-7,Toyoharu Yokoi,1986,Biochemical and Immunological Characterization of Suncus murinus Mammary Tumor Virus DNA Polymerase
S0229,3100244,Not reported,Chen Shang-zhi,1986,Strains of epidemic hemorrhagic fever virus isolated from the lungs of C. russula and A. squamipes
S0230,2421890,Not reported in PubMed record,J. M. Yamashiro,1986,"Ultrastructural characterization of the retrovirus particles (Sm-MTV) liberated from the mammary tumor cell line (Sm-MT) of a house musk shrew, Suncus murinus (Insectivora)"
S0231,3084630,Not reported in PubMed abstract,L. Danes,1986,Hemorrhagic fever with renal syndrome in Czechoslovakia: detection of antigen in small terrestrial mammals and specific serum antibodies in man
S0232,Not identified (Banerjee et al. 1984),Not identified,K. Banerjee,1984,Susceptibility of Cynopterus sphinx (frugivorus bat) & Suncus murinus (house shrew) to Japanese encephalitis virus
S0233,6839405,Not reported in PubMed abstract,C. Chastel,1983,[Arbovirus infections in Tunisia: new serological survey of small wild mammals]
S0234,7165896,Not reported in PubMed abstract,C. Chastel,1982,[Arbovirus infections in Morocco: serosurvey in small wild mammals in the northern part of the country]
S0235,7013778,Not reported in supplied PDF,A. D. Vizoso,1981,Paramyxoviruses of the morbilli group in the wild hedgehog Erinaceus europeus
S0236,7074369,Not reported,J. Nosek,1982,[Detection of a natural focus of tick-borne encephalitis in Central Slovakia. II. Synecology of the tick-borne encephalitis virus in middle Povazie (author's transl)]
S0237,Not identified (Goverdhan & Anderson 1981),Not identified,M. K. Goverdhan,1981,The reaction of Funambulus tristriatus tristriatus Rattus blanfordi and Suncus murinus to Kyasanur forest disease virus
S0238,7460127,Not reported in public abstract,C. Chastel,1980,[Arbovirus infections in Spain: serological survey on small mammals]
S0239,Not identified (Tomori 1980),10.1080/00034983.1980.11687325,O. Tomori,1980,Wild life rabies in Nigeria: experimental infection and transmission studies with the shrew (Crocidura sp.)
S0240,419743,Not reported in public abstract,K. A. Vanag,1979,[Pathomorphological characteristics of the experimental infection in animals infected with viruses of the rabies antigenic group]
S0241,677617,Not reported in public abstract,G. Le Gonidec,1978,[Isolation of a strain of Mokola virus in Cameroon (author's transl)]
S0242,211075,Not reported,D. Málková,1978,Relationships of Lednice (Yaba 1) Arbovirus to some small mammals
S0243,5530013,10.1128/JVI.6.5.690-692.1970,Robert E. Shope,1970,Two African Viruses Serologically and Morphologically Related to Rabies Virus
S0244,4772939,10.1007/BF01250419,G. E. Kemp,1973,"Mokola Virus: Experimental Infection and Transmission Studies with the Shrew, a Natural Host"
S0245,4210769,10.7589/0090-3558-10.3.279,Graham E. Kemp,1974,"Isolation of Viruses from Wild Mammals in West Africa, 1966-1970"
S0246,5025622,Not reported in PubMed record,G. E. Kemp,1972,"Mokola virus. Further studies on IbAn 27377, a new rabies-related etiologic agent of zoonosis in nigeria"
S0247,5169031,Not reported in PubMed record,D. E. Carey,1971,Thottapalayam virus: a presumptive arbovirus isolated from a shrew in India
S0248,5146297,Not reported,V. Topciu,1971,The existence of arbovirus group B (Casals) disclosed by serological analysis of various animal species in the province of Banat (Rumania)
S0249,5453910,10.4269/ajtmh.1970.19.846,O. R. Causey,1970,"Congo virus from domestic livestock, African hedgehog, and arthropods in Nigeria"
S0250,5466093,Not reported,H. Aspöck,1970,[Field studies on the importance of the hedgehog (Erinacaeus europaeus roumanicus Barett-Hamilton) in the cycle of Tahyna virus]
S0251,5298540,Not reported,J. Nosek,1967,The Relationship between the Tick-borne Encephalitis Virus and the Ticks and Mammals of the Tribec Mountain Range
S0252,5298543,Not reported,O. Kozuch,1967,The Role of Small Rodents and Hedgehogs in a Natural Focus of Tick-borne Encephalitis
S0253,5393202,Not reported,O. Kozuch,1969,[Synecological studies in natural disease reservoirs of the early summer meningoencephalitis virus of the Carpathian type]
S0254,5679154,Not reported,J. Boshell,1968,Preliminary studies on the susceptibility of wild rodents and shrews to KFD virus
S0255,5745715,Not reported,J. Nosek,1968,[Studies of the ecology of the Central European tick-borne encephalitis virus in Northern Moravia]
S0256,4383896,Not reported,O. Kozuch,1967,Isolation of tick-borne encephalitis virus from the blood of Sorex araneus in a natural focus
S0257,4381993,Not reported,O. Kozuch,1966,Serological survey and isolation of tick-borne encephalitis virus from the blood of the mole (Talpa europaea) in a natural focus
